,Course id,English title,Danish title,Point( ECTS ),Course type,Location,Recommended prerequisites,Responsible,Department,Link
11,01035,Advanced Engineering Mathematics 2,Matematik 2,5,"BSc_Offered as a single course_Basic Natural Science Courses, Biotechnology_Basic Natural Science Courses, Civil Engineering_Basic Natural Science Courses, Architectural Engineering_Basic Natural Science Courses, Cybertechnology_Basic Natural Science Courses, Earth and Space Physics and Engineering_Basic Natural Science Courses, Medicine and Technology_Basic Natural Science Courses, Environmental Engineering_Basic Natural Science Courses, Mechanical Engineering_Basic Natural Science Courses, Human Life Science Engineering_Technology Core Courses, Electrical Engineering_Technology Core Courses, Physics and Nanotechnology_Technology Core Courses, Quantitative Biology and Disease Modelling",Campus Lyngby,"01005,01006,01015,01016,01901,01920, /,/,/,/(,.­,) , Advanced Engineering Mathematics   1 (01005/​​01006/​​01015/​​01016) or Calculus and Algebra 1 and   2 (01901.01920). Knowledge of complex numbers, matrix   calculations, eigenvalues and eigenvectors for matrices, and   linear differential equations.",Jens Gravesen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01035
12,01037,"Advanced Engineering Mathematics 2 (Summer
University)",Matematik 2 (sommeruniversitet),5,"BSc_Offered as a single course_Basic Natural Science Courses, Civil Engineering_Basic Natural Science Courses, Architectural Engineering_Basic Natural Science Courses, Cybertechnology_Basic Natural Science Courses, Earth and Space Physics and Engineering_Basic Natural Science Courses, Environmental Engineering_Basic Natural Science Courses, Mechanical Engineering_Technology Core Courses, Electrical Engineering_Technology Core Courses, Physics and Nanotechnology_Technology Core Courses, Quantitative Biology and Disease Modelling",Campus Lyngby,"01005,01006,01015,01016,01901,01920, /,/,/,/(,.­,) , Advanced Engineering Mathematics   1 (01005/​01006/​01015/​01016) or Calculus and Algebra 1 and 2   (01901.01920). Knowledge of complex numbers, matrix   calculations, eigenvalues and eigenvectors for matrices, and   linear differential equations.",Kristian Uldall Kristiansen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01037
13,01125,Fundamental topological concepts and metric spaces,Topologiske grundbegreber og metriske rum,5,"BSc_Technology Core Courses, Mathematics and Technology",Campus Lyngby,"01025,01034,01035,01037, /,/,/, , the course is very abstract so   Mathematics 2 for Mathematics and Technology (01025) is better   than Mathematics 2 (01035). Likewise, the algebra course (01018)   gives training in abstract   mathematics.",Poul Georg Hjorth,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01125
14,01227,Graph Theory,Grafteori,5,MSc_Offered as a single course,Campus Lyngby,"01005,01017, ., , Mathematical   maturity.",Carsten Thomassen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01227
15,01237,Differential geometry and parametric design,Differentialgeometri og parametrisk design,5,"BSc_MSc_Offered as a single course_Basic Natural Science Courses, Architectural Engineering_Mandatory course, Bachelor of Engineering Architectural Engineering",Campus Lyngby,"01005,01920, /",Steen Markvorsen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01237
16,01238,Differential Geometry,Differentialgeometri,5,"MSc_Offered as a single course_General competence course, MSc. Eng., Mathematical Modelling and Computing_Technological specialization course, MSc. Eng., Mathematical Modelling and Computing",Campus Lyngby,"01125,01237, /, , Knowledge about fundamental   concepts and results from calculus, geometry, and linear algebra   is assumed as a prerequisite.",Steen Markvorsen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01238
17,01257,Advanced Modelling - Applied Mathematics,Videregående modellering - anvendt matematik,5,"MSc_Technological specialization course, MSc. Eng., Mathematical Modelling and Computing",Campus Lyngby,"01617,02631,02632,02633,02525, .­(,/,/,/,) , Basic experience in programming,   see e.g. the DTU course   02631/02632/02633/02525",Kristian Uldall Kristiansen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01257
18,01325,Function spaces and mathematical analysis,Funktionsrum og matematisk analyse,5,MSc_Offered as a single course,Campus Lyngby,"01035,01025,01034,01037, /,/,/, , [Subjects from 01005, 01020, or   an equivalent course:] Linear equations and linear maps. Matrix   algebra. Vector spaces. Eigenvalue problems. Symmetric and   orthogonal matrices. Complex numbers. Linear differential   equations. Standard functions. Functions of one and several real   variables: linear approximations and partial derivatives, Taylor   expansions, and quadratic forms. [Subjects from 01035 or an   equivalent course:] Infinite series, power series, Fourier   series. Convergence (absolute, conditional, point-wise, uniform)   of infinite series, Introduction to the Fourier   transform.",Jens Gravesen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01325
19,01405,Algebraic Error-Correcting Codes,Algebraiske Fejlrettende Koder,5,"MSc_Offered as a single course_Technological specialization course, MSc. Eng., Communication Technologies and System Design_Technological specialization course, MSc. Eng., Mathematical Modelling and Computing",Campus Lyngby,"01018,  , Understanding of basic concepts fromalgebra: linear algebra, finite fields, quotient rings, theisomorphism theorem, polynomial rings. Some programmingexperience.",Pieter Hendrik Turdus Beelen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01405
20,01410,Cryptology 1,Kryptologi 1,5,MSc_Offered as a single course,Campus Lyngby,"01005,01006, /, , Linear Algebra corresponding to   the first semester of Advanced Engineering Mathematics 1.   Discrete Mathematics (01017/01019) is a recommended but not   strictly necessary prerequisite.",Christian Majenz,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01410
21,01415,Computational Discrete Mathematics,Computational Discrete Mathematics,5,"MSc_Offered as a single course_General competence course, MSc. Eng., Mathematical Modelling and Computing_Technological specialization course, MSc. Eng., Mathematical Modelling and Computing",Campus Lyngby,"01018,  , Understanding of concepts fromabstract algebra: linear algebra, rings, ideals, quotient rings,the isomorphism theorem, finite fields. Some experience withprogramming and algorithms. Students that have not taken 01018 buthave 01017 and 01426 should be able to follow the course but shouldexpect reading up on the mentioned algebra.",Pieter Hendrik Turdus Beelen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01415
22,01418,Introduction to Partial Differential Equations,Introduktion til partielle differentialligninger,5,"BSc_MSc_Offered as a single course_Technology Core Courses, Mathematics and Technology_Technological specialization course, MSc. Eng., Petroleum Engineering",Campus Lyngby,"01025,01034,01035,01037, /,/,/, , Linear Ordinary Differential   Equations (ODE); convergence of infinite series; Fourier   series",Mirza Karamehmedovic,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01418
23,01426,Cryptology 2,Kryptologi 2,5,"MSc_Technological specialization course, MSc. Eng., Mathematical Modelling and Computing",Campus Lyngby,"01410,  , Participants should be interested indiscrete mathematics",Jens Tyge Tiessen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01426
24,01527,Graph Theory II,Videregående grafteori,5,"Ph.D., Professionally focussed course_Offered as a single course",Campus Lyngby,"01227,01227, .",Carsten Thomassen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01527
25,01617,Introduction to Dynamical Systems,Introduktion til Dynamiske Systemer,5,"MSc_Offered as a single course_General competence course, MSc. Eng., Mathematical Modelling and Computing_Technological specialization course, MSc. Eng., Mathematical Modelling and Computing",Campus Lyngby,"01025,01034,01035,01037, /,/,/, , Basic knowledge of linear algebra   and linear differential equations",Christian Henriksen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01617
26,01621,Advanced Dynamical Systems: Global Theory,Videregående dynamiske systemer: Global teori,5,"MSc_Technological specialization course, MSc. Eng., Mathematical Modelling and Computing",Campus Lyngby,"01617,  , Knowledge of nonlinear differentialequations, phase portraits, (local) invariant(stable/unstable/center) manifolds and local bifurcations. Somemathematical maturity (obtained by following 01125, say) will beuseful. Practical experience (obtained through 01257, say) is alsogood, but not required.",Morten Brøns,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01621
27,01622,"Advanced Dynamical Systems: Applications in Science and
Engineering",Videregående dynamiske systemer med teknologiskeanvendelser,5,"MSc_Technological specialization course, MSc. Eng., Mathematical Modelling and Computing",Campus Lyngby,"01617,  , Introduction to DynamicalSystems",Poul Georg Hjorth,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01622
28,01666,"Project work - Bachelor of Mathematics and
Technology",Fagprojekt - Bachelor i Matematik og Teknologi,10,"BSc_Projects and General Subjects, Mathematics and Technology",Campus Lyngby,,Mads Peter Sørensen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01666
29,01715,Functional Analysis,Funktionalanalyse,5,"MSc_Offered as a single course_General competence course, MSc. Eng., Mathematical Modelling and Computing_Technological specialization course, MSc. Eng., Mathematical Modelling and Computing",Campus Lyngby,"01325,01125, ., , It will be very difficult to   complete the course without having already passed both   ""01125 Fundamental topological concepts and metric   spaces"" and "" 01325 Function spaces and mathematical   analysis""",Ole Christensen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01715
30,01716,Advanced Topics in Applied Functional Analysis,Videregående emner i anvendt funktionalanalyse,5,MSc_Offered as a single course,Campus Lyngby,"01715,  , Basic knowledge of partialdifferential equations and functionalanalysis",Kim Knudsen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01716
31,01901,Calculus and algebra 1,Basismat 1 - Indledende matematik fordiplomingeniører,5,"BEng_Offered as a single course_Mandatory course, Bachelor of Engineering Civil Engineering_Mandatory course, Bachelor of Engineering Architectural Engineering_Mandatory course, Bachelor of Engineering Global Business Engineering_Mandatory course, Bachelor of Engineering Electrical Energy Technology_Mandatory course, Bachelor of Engineering Electrical Engineering_Mandatory course, Bachelor of Engineering Food Safety and Quality_Mandatory course, Bachelor of Engineering IT and Economics_Mandatory course, Bachelor of Engineering IT Electronics_Mandatory course, Bachelor of Engineering Chemical and Bio Engineering_Mandatory course, Bachelor of Engineering Chemical Engineering and International Business_Mandatory course, Bachelor of Engineering Mechanical Engineering_Mandatory course, Bachelor of Engineering Mobility, Transport and Logistics_Mandatory course, Bachelor of Engineering Process and Innovation_Mandatory course, Bachelor of Engineering Manufacturing and Management_Mandatory course, Bachelor of Engineering Software Technology_Mandatory course, Bachelor of Engineering Healthcare Technology",The course can be followed at both Lyngby and Ballerup Campus.The course should be attended in one moodule only. Informationabout the relevant module can be found in the study plans for eachstudy line.,,Morten Brøns,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01901
32,01904,Discrete mathematics,Diskret matematik,5,"BEng_Mandatory course, Bachelor of Engineering IT and Economics_Mandatory course, Bachelor of Engineering IT Electronics_Mandatory course, Bachelor of Engineering Software Technology",Campus Lyngby,,Christian Majenz,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01904
33,01910,Calculus and algebra 1 - Digital Twin,Basismat 1 - Indledende matematik for diplomingeniører -Digital Twin,5,BEng,"The course is followed digitally on Mondays and Thursdaysthroughout the weeks 11-18. Written exam is carried out at campuson Monday, May 8th.",,Jakob Martin Pedersen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01910
34,01920,Calculus and Algebra 2,Basismat 2 - Videregående matematik fordiplomingeniører,5,"BEng_Offered as a single course_Mandatory course, Bachelor of Engineering Arctic Civil Engineering_Mandatory course, Bachelor of Engineering Civil Engineering_Mandatory course, Bachelor of Engineering Architectural Engineering_Mandatory course, Bachelor of Engineering Global Business Engineering_Mandatory course, Bachelor of Engineering Electrical Energy Technology_Mandatory course, Bachelor of Engineering Electrical Engineering_Mandatory course, Bachelor of Engineering Fisheries Technology_Mandatory course, Bachelor of Engineering Food Safety and Quality_Mandatory course, Bachelor of Engineering IT Electronics_Mandatory course, Bachelor of Engineering Chemical Engineering and International Business_Mandatory course, Bachelor of Engineering Mechanical Engineering_Mandatory course, Bachelor of Engineering Mobility, Transport and Logistics_Mandatory course, Bachelor of Engineering Process and Innovation_Mandatory course, Bachelor of Engineering Manufacturing and Management_Mandatory course, Bachelor of Engineering Software Technology_Mandatory course, Bachelor of Engineering Healthcare Technology",The course can be followed at both Lyngby and Ballerup Campus.The course should be attended in one module only. Information aboutthe relevant module can be found in the study plans for each studyline.,"01901,  , 01901 must be taken before orsimultaneously",Morten Brøns,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01920
35,02101,Introductory Programming,Indledende Programmering,5,"BSc_Offered as a single course_Basic Natural Science Courses_Basic Natural Science Courses_Projects and General Subjects, Cybertechnology_Projects and General Subjects, Electrical Engineering_Projects and General Subjects, Physics and Nanotechnology_Projects and General Subjects, Software Technology",Campus Lyngby,,Paul Fischer,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02101
36,02102,Introductory Programming,Indledende Programmering,5,"BSc_Offered as a single course_Projects and General Subjects, Electrical Engineering",Campus Lyngby,,Jørgen Villadsen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02102
37,02105,Algorithms and Data Structures 1,Algoritmer og datastrukturer 1,5,"BSc_Offered as a single course_Bachelor in Artificiel Intelligence and Data_Technology Core Courses, Cybertechnology_Technology Core Courses, Data Science and Management_Technology Core Courses, General Engineering_Technology Core Courses, Software Technology",Campus Lyngby,"02101,02102,01017, (,/,)., , An introductory course in   programming + an introductory course in discrete mathematics. Or   similar competences.",Philip Bille,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02105
38,02110,Algorithms and Data Structures 2,Algoritmer og datastrukturer 2,5,"MSc_Offered as a single course_Technological specialization course, MSc. Eng., Business Analytics",Campus Lyngby,"02105,02326, /, , The course builds on 02105   Algorithms and Data Structures I.",Inge Li Gørtz,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02110
39,02121,Introduction to Software Technology,Introduktion til softwareteknologi,10,"BSc_Projects and General Subjects, Software Technology",Campus Lyngby,"02101,  , The student currently follows or hasfollowed a course in introductoryprogramming.",Carsten Witt,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02121
40,02122,Software Technology Project,Fagprojekt - Bachelor i Softwareteknologi,10,"BSc_Projects and General Subjects, Software Technology",Campus Lyngby,"02105,02121,02161, .,., , Introductory courses to   programming and software development",Nina Gierasimczuk,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02122
41,02128,Software Project,Softwareprojekt,5,BSc,Campus Lyngby Active participation is expected throughout thecourse.,"02101,02105,02121,02161, .,.,., , Students are expected to have   basic knowledge of Java programming, algorithms and   datastructures as well as elementary software development   corresponding to said courses.",Hans Henrik Løvengreen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02128
42,02132,Computer Systems,Computersystemer,10,"BSc_Technology Core Courses, Software Technology",Campus Lyngby,"02101,02102,  /, , Prerequisites are: the command ofconcepts and terminology about development, test and documentationof programs. An introduction to the language C will begiven.",Jan Madsen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02132
43,02135,Introduction to Cyber Systems,Introduktion til Cyber Systemer,5,"BSc_Technology Core Courses, General Engineering",Campus Lyngby,,Jan Madsen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02135
44,02138,Digital Electronics 1,Digital elektronik 1,5,"BSc_Offered as a single course_Technology Core Courses, Electrical Engineering",Campus Lyngby,,Flemming Stassen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02138
45,02139,Digital Electronics 2,Digital Elektronik 2,5,"BSc_Technological Core Course, Electrical Engineering",Campus Lyngby,"02138, ",Martin Schöberl,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02139
46,02141,Computer Science Modelling,Datalogisk modellering,10,"BSc_Technology Core Courses, General Engineering_Technology Core Courses, Software Technology",Campus Lyngby,"02157,  , Discrete mathematics, algorithms anddata structures, functional programming.",Alberto Lluch Lafuente,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02141
47,02148,"Introduction to Coordination in Distributed
Applications",Introduktion til koordinering af fordelteapplikationer,5,BSc,Campus Lyngby,"02101,02102,02161,02105, (,/,).­,.­, , Ability to program in an object   oriented language like Java is recommended. Basic knowledge of   algorithms, data structures and software engineering is also   recommended.",Alberto Lluch Lafuente,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02148
48,02155,Computer Architecture and Engineering,Computerarkitektur,5,"BSc_Offered as a single course_Technology Core Courses, Software Technology",Campus Lyngby,"02131,02132,02139,02102, /,/,., , Basic skills in programming and   digital electronics",Alberto Nannarelli,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02155
49,02156,Logical Systems and Logic Programming,Logiske Systemer og Logikprogrammering,5,"BSc_Offered as a single course_Technology Core Courses, Software Technology",Campus Lyngby,"02101,02102,01017,01019,02105, (,/,).­(,/,).­, , Programming in a declarative or   imperative language, discrete mathematics, algorithms and data   structures. Functional programming is an   advantage.",Jørgen Villadsen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02156
50,02157,Functional Programming,Funktionsprogrammering,5,"BSc_Offered as a single course_Technology Core Courses, General Engineering_Technology Core Courses, Software Technology",Campus Lyngby,"02101,02102,02631,01019, (, /, /,) ., , Programming in animperative/​object-oriented language, discrete mathematics (latestat the same semester).",Michael Reichhardt Hansen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02157
51,02158,Concurrent Programming,Parallelprogrammering,5,"BSc_Offered as a single course_Technology Core Courses, Software Technology",Campus Lyngby,"02101,02102,01017,02105,02131,02132,02135,02141, (,/,).­,.­,.­(,/,/,).­, , Skills in sequential,   object-oriented programming, e.g. in Java. Knowledge of   computation modelling and application of predicate logic. Use of   basic data structures. Basic knowledge of computer systems   organization.",Hans Henrik Løvengreen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02158
52,02159,Operating Systems,Operativsystemer,5,"BSc_Offered as a single course_Technology Core Courses, Software Technology",Campus Lyngby,"02101,02102,02105,02132, (,/,).­,.­, , Experience in sequential   programming; basic knowledge of computer systems organisation;   experience with the C programming   language.",Xenofon Fafoutis,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02159
53,02160,Agile Object-oriented Software Development,Agil objektorienteret softwareudvikling,10,"BSc_Offered as a single course_Technology Core Courses, General Engineering",Campus Lyngby,"02631,  , Experience in proceduralprogramming",Andrea Burattin,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02160
54,02161,Software Engineering 1,Software Engineering 1,5,"BSc_Offered as a single course_Technology Core Courses, Cybertechnology_Technology Core Courses, Software Technology",Campus Lyngby,"02101,  , Basic Java programmingskills",Hubert Baumeister,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02161
55,02162,Software Engineering 2,Software Engineering 2,10,MSc_Offered as a single course,Campus Lyngby,"02105,02161, ., , Courses ""Algorithms and Data   Structures 1"" (02105) and ""Software Engineering   1"" (02161) or equivalent courses are recommended   prerequisites for this course.",Ekkart Kindler,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02162
56,02170,Database Systems,Databasesystemer,5,"BSc_MSc_Offered as a single course_Technology Core Courses, Data Science and Management_Technological specialization course, MSc. Eng., Quantitative Biology and Disease Modelling",Campus Lyngby,"01017,01917,02105,02110, /, .   , .   , , or equivalent knowledge about (1)   discrete mathematics: set theory and logical operators, (2)   programming, algorithms and data structures (at the level of   02105), and (3) balanced trees (as taught in 02110).",Anne Elisabeth Haxthausen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02170
57,02180,Introduction to Artificial Intelligence,Introduktion til kunstig intelligens,5,"MSc_Offered as a single course_General competence course, MSc. Eng., Autonomous Systems_Technological specialization course, MSc. Eng., Architectural Engineering_Technological specialization course, MSc. Eng., Human-Centered Artificial Intelligence",Campus Lyngby,"02101,02102,02312,02105,01017,01019, (,/,/,).­(,).­(,/,) , or equivalent courses. You need   experience with algorithms and data structures, programming,   propositional logic and recursive procedures. The course   requires experience with implementing non-trivial algorithms in   a standard programming language like Java or Python. The course   can be taken by bachelor students satisfying the recommended   prerequisites.",Nina Gierasimczuk,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02180
58,02182,Symbolic Artificial Intelligence,Symbolsk kunstig intelligens,5,BSc_Bachelor in Artificiel Intelligence and Data,Campus Lyngby,"01017,02105,02450,02464,02465, .,.,.,.,. , or equivalent courses. You needexperience with algorithms and data structures, programming,propositional logic and recursive procedures. The course requiresexperience with implementing non-trivial algorithms in a standardprogramming language like Java or Python.",Thomas Bolander,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02182
59,02191,Computer Security Forensics,Computersikkerhedsundersøgelser,5,MSc,Campus Lyngby,"02239,02233,  /",Weizhi Meng,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02191
60,02192,Computer Security Incident Response,Computersikkerhedshændelseshåndtering,5,MSc,Campus Lyngby,"02239,02233,  /, , The course is an advanced coursethat requires basic understanding of computer and network security.The course may be taken in parallel with02233.",Weizhi Meng,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02192
61,02193,Ethical Hacking,Etisk hacking,5,MSc_Offered as a single course,Campus Lyngby,"02239,02233,  /, , The course is an advanced coursethat requires basic understanding of both computer and networksecurity.",Christian D. Jensen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02193
62,02203,Design of Digital Systems,Design af digitale systemer,5,"MSc_Offered as a single course_General competence course, MSc. Eng., Computer Science and Engineering_Technological specialization course, MSc. Eng., Electrical Engineering_Technological specialization course, MSc. Eng., Computer Science and Engineering_Technological specialization course, MSc. Eng., Communication Technologies and System Design",Campus Lyngby,"02139,02102,02131,02132, .,/,/, , Basic skills in programming and   digital electronics including some knowledge of VHDL (or another   hardware description language).",Jens Sparsø,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02203
63,02204,Design of Asynchronous Circuits,Design af asynkrone kredsløb,5,"MSc_Offered as a single course_Technological specialization course, MSc. Eng., Computer Science and Engineering",Campus Lyngby,"02203,02139,  /, , Solid background in digitalelectronics.",Jens Sparsø,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02204
64,02205,VLSI Design,VLSI Design,5,"MSc_Offered as a single course_General competence course, MSc. Eng., Computer Science and Engineering_Technological specialization course, MSc. Eng., Computer Science and Engineering",Campus Lyngby,"02138,02139, ., , Basic course in digital   systems",Alberto Nannarelli,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02205
65,02209,Test of Digital Systems,Test af digitale systemer,5,"MSc_Offered as a single course_Technological specialization course, MSc. Eng., Computer Science and Engineering",Campus Lyngby,"02203,02155,02138,02205,  /, /, /, , Basic course in digital systems ordesign of integrated systems",Flemming Stassen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/02209
