,Kursus id,Engelsk titel,Dansk titel,Point( ECTS ),Kursustype,Undervisningens placering,Anbefalede forudsætninger,Kursusansvarlig,Institut,Link
10,01034,Advanced Engineering Mathematics 2,Matematik 2,5,"Bachelor_Kurset udbydes som enkeltfag_Naturvidenskabeligt grundfag, Bioteknologi_Naturvidenskabeligt grundfag, Byggeteknologi_Naturvidenskabeligt grundfag, Bygningsdesign_Naturvidenskabeligt grundfag, Cyberteknologi_Naturvidenskabeligt grundfag, Geofysik og Rumteknologi_Naturvidenskabeligt grundfag, Medicin og Teknologi_Naturvidenskabeligt grundfag, Miljøteknologi_Naturvidenskabeligt grundfag, Produktion og Konstruktion_Naturvidenskabeligt grundfag, Teknisk Biomedicin_Teknologisk linjefag, Elektroteknologi_Teknologisk linjefag, Fysik og Nanoteknologi_Teknologisk linjefag, Kvantitativ Biologi og Sygdomsmodellering",Campus Lyngby,"01005,01006,01015,01016,01901,01920, /,/,/,/(,.­,) , Matematik 1   (01005/​​01006/​​01015/​​01016) eller Basismat 1 og 2   (01901.01920), indledende matematik for diplomingeniører (01901)   og videregående matematik for diplomingeniører (01920). Kendskab   til komplekse tal, matrix regning, egenværdier og egenvektorer   for matricer, samt lineære ordinære   differentialligninger.",Poul Georg Hjorth,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01034
11,01035,Advanced Engineering Mathematics 2,Matematik 2,5,"Bachelor_Kurset udbydes som enkeltfag_Naturvidenskabeligt grundfag, Bioteknologi_Naturvidenskabeligt grundfag, Byggeteknologi_Naturvidenskabeligt grundfag, Bygningsdesign_Naturvidenskabeligt grundfag, Cyberteknologi_Naturvidenskabeligt grundfag, Geofysik og Rumteknologi_Naturvidenskabeligt grundfag, Medicin og Teknologi_Naturvidenskabeligt grundfag, Miljøteknologi_Naturvidenskabeligt grundfag, Produktion og Konstruktion_Naturvidenskabeligt grundfag, Teknisk Biomedicin_Teknologisk linjefag, Elektroteknologi_Teknologisk linjefag, Fysik og Nanoteknologi_Teknologisk linjefag, Kvantitativ Biologi og Sygdomsmodellering_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Eksport og Teknologi_Tilvalgskurser, Diplomingeniørretning, IT-elektronik_Tilvalgskurser, Diplomingeniørretning, Kemi- og bioteknik_Tilvalgskurser, Diplomingeniørretning, Kemiteknik og International Business_Tilvalgskurser, Diplomingeniørretning, Sundhedsteknologi",Campus Lyngby,"01005,01006,01015,01016,01901,01920, /,/,/,/(,.­,) , Matematik 1   (01005/​​01006/​​01015/​​01016) eller Basismat 1 og 2   (01901.01920), indledende matematik for diplomingeniører (01901)   og videregående matematik for diplomingeniører (01920). Kendskab   til komplekse tal, matrix regning, egenværdier og egenvektorer   for matricer, samt lineære ordinære   differentialligninger.",Jens Gravesen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01035
12,01037,Advanced Engineering Mathematics 2 (SummerUniversity),Matematik 2 (sommeruniversitet),5,"Bachelor_Kurset udbydes som enkeltfag_Naturvidenskabeligt grundfag, Byggeteknologi_Naturvidenskabeligt grundfag, Bygningsdesign_Naturvidenskabeligt grundfag, Cyberteknologi_Naturvidenskabeligt grundfag, Geofysik og Rumteknologi_Naturvidenskabeligt grundfag, Miljøteknologi_Naturvidenskabeligt grundfag, Produktion og Konstruktion_Teknologisk linjefag, Elektroteknologi_Teknologisk linjefag, Fysik og Nanoteknologi_Teknologisk linjefag, Kvantitativ Biologi og Sygdomsmodellering_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Kemi- og bioteknik_Tilvalgskurser, Diplomingeniørretning, Kemiteknik og International Business_Tilvalgskurser, Diplomingeniørretning, Sundhedsteknologi",Campus Lyngby,"01005,01006,01015,01016,01901,01920, /,/,/,/(,.­,) , Matematik 1   (01005/​01006/​01015/​01016) eller Basismat 1 og 2   (01901.01920), indledende matematik for diplomingeniører (01901)   og videregående matematik for diplomingeniører (01920). Kendskab   til komplekse tal, matrix regning, egenværdier og egenvektorer   for matricer, samt lineære ordinære   differentialligninger.",Kristian Uldall Kristiansen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01037
13,01125,Fundamental topological concepts and metric spaces,Topologiske grundbegreber og metriske rum,5,"Bachelor_Teknologisk linjefag, Matematik og Teknologi",Campus Lyngby,"01025,01034,01035,01037, /,/,/, , kurset er meget abstrakt så det   vil være bedre at have Matematik 2 for Matematik og Teknologi   (01025) fremfor Matematik 2 (01035). Ligeledes vil algebra   kurset (01018) have givet træning i abstrakt   matematik.",Poul Georg Hjorth,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01125
14,01227,Graph Theory,Grafteori,5,"Kandidat_Kurset udbydes som enkeltfag_Tilvalgskurser, Diplomingeniørretning, IT-elektronik_Tilvalgskurser, Diplomingeniørretning, Softwareteknologi",Campus Lyngby,"01005,01017, ., , Matematisk   modenhed.",Carsten Thomassen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01227
15,01237,Differential geometry and parametric design,Differentialgeometri og parametrisk design,5,"Bachelor_Kandidat_Kurset udbydes som enkeltfag_Naturvidenskabeligt grundfag, Bygningsdesign_Obligatorisk kursus, Diplomingeniørretning Bygningsdesign",Campus Lyngby,"01005,01920, /",Steen Markvorsen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01237
16,01238,Differential Geometry,Differentialgeometri,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Matematisk Modellering og Computing_Teknologisk specialisering, kandidatuddannelsen, Matematisk Modellering og Computing_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,"01125,01237, /, , Grundlæggende begreber og   resultater fra matematisk analyse, geometri, og lineær algebra   forudsættes bekendt.",Steen Markvorsen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01238
17,01257,Advanced Modelling - Applied Mathematics,Videregående modellering - anvendt matematik,5,"Kandidat_Teknologisk specialisering, kandidatuddannelsen, Matematisk Modellering og Computing",Campus Lyngby,"01617,02631,02632,02633,02525, .­(,/,/,/,) , Basal programmeringserfaring,   svarende til f.eks. kursus   02631/02632/02633/02525",Kristian Uldall Kristiansen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01257
18,01325,Function spaces and mathematical analysis,Funktionsrum og matematisk analyse,5,Kandidat_Kurset udbydes som enkeltfag,Campus Lyngby,"01035,01025,01034,01037, /,/,/, , [Emner fra 01005, 01020 eller   tilsvarende kursus:] Lineære ligninger og lineære afbildninger.   Matrixalgebra. Vektorrum. Egenværdiproblemet. Symmetriske og   ortogonale matricer. Komplekse tal. Lineære   differentialligninger. Elementære funktioner. Funktioner af én   og flere reelle variable: linearisering og partielle afledede,   Taylors formel og kvadratiske former. [Emner fra 01035 eller   tilsvarende kursus:] Uendelige rækker, potensrækker,   Fourierrækker. Konvergens (absolut, betinget, punktvis, uniform)   af uendelige rækker. Introduktion til   Fouriertransformation.",Jens Gravesen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01325
19,01405,Algebraic Error-Correcting Codes,Algebraiske Fejlrettende Koder,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Kommunikationsteknologier og Systemdesign_Teknologisk specialisering, kandidatuddannelsen, Matematisk Modellering og Computing",Campus Lyngby,"01018,  , Forståelse af grundbegreber fraalgebra: lineær algebra, endelige legemer, kvotientringe,isomorfisætningen, polynomiumsringe. Lidt erfaring medprogrammering.",Pieter Hendrik Turdus Beelen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01405
20,01410,Cryptology 1,Kryptologi 1,5,"Kandidat_Kurset udbydes som enkeltfag_Tilvalgskurser, Diplomingeniørretning, IT-elektronik_Tilvalgskurser, Diplomingeniørretning, Softwareteknologi",Campus Lyngby,"01005,01006, /, , Lineær algebra svarende til   01005/01006 Matematik 1's første semester. Diskret Matematik   (01017/01019) er en anbefalet men ikke strengt nødvendig   forudsætning.",Christian Majenz,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01410
21,01415,Computational Discrete Mathematics,Computational Discrete Mathematics,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Matematisk Modellering og Computing_Teknologisk specialisering, kandidatuddannelsen, Matematisk Modellering og Computing",Campus Lyngby,"01018,  , Forståelse af begreber fra abstraktalgebra: lineær algebra, ringe, idealer, kvotientringe,isomorfisætningen, endelige legemer. Lidt erfaring medprogrammering og algoritmer. Studerende der ikke har taget 01018men har 01017 og 01426 burde kunne følge kurset med, men skalforvente at læse ekstra op på ovenstående algebra.",Pieter Hendrik Turdus Beelen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01415
22,01418,Introduction to Partial Differential Equations,Introduktion til partielle differentialligninger,5,"Bachelor_Kandidat_Kurset udbydes som enkeltfag_Teknologisk linjefag, Matematik og Teknologi_Teknologisk specialisering, kandidatuddannelsen,Olie- og Gasteknik",Campus Lyngby,"01025,01034,01035,01037, /,/,/, , Lineære sædvanlige   differentialligninger; konvergens af uendelige rækker;   Fourierrækker",Mirza Karamehmedovic,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01418
23,01426,Cryptology 2,Kryptologi 2,5,"Kandidat_Teknologisk specialisering, kandidatuddannelsen, Matematisk Modellering og Computing",Campus Lyngby,"01410,  , Deltagerne bør være interesseret idiskret matematik",Jens Tyge Tiessen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01426
24,01527,Graph Theory II,Videregående grafteori,5,"Ph.d., Fagligt fokuseret kursus_Kurset udbydes som enkeltfag",Campus Lyngby,"01227,01227, .",Carsten Thomassen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01527
25,01617,Introduction to Dynamical Systems,Introduktion til Dynamiske Systemer,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Matematisk Modellering og Computing_Teknologisk specialisering, kandidatuddannelsen, Matematisk Modellering og Computing",Campus Lyngby,"01025,01034,01035,01037, /,/,/, , Kendskab til lineær algebra og   lineære differentialligninger",Christian Henriksen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01617
26,01621,Advanced Dynamical Systems: Global Theory,Videregående dynamiske systemer: Global teori,5,"Kandidat_Teknologisk specialisering, kandidatuddannelsen, Matematisk Modellering og Computing",Campus Lyngby,"01617,  , Kendskab til ikke-lineæredifferentialligninger, faseportrætter, lokale mangfoldigheder oglokale bifurkationer. En vis matematisk modenhed (f.eks. opnået via01125) vil være gavnligt. Tilsvarende praksis erfaring (f.eks.gennem 3-ugers kurset 01257) kan også værenyttigt.",Morten Brøns,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01621
27,01622,Advanced Dynamical Systems: Applications in Science andEngineering,Videregående dynamiske systemer med teknologiskeanvendelser,5,"Kandidat_Teknologisk specialisering, kandidatuddannelsen, Matematisk Modellering og Computing",Campus Lyngby,"01617,  , Introduktion til DynamiskeSystemer",Poul Georg Hjorth,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01622
28,01666,Project work - Bachelor of Mathematics and Technology,Fagprojekt - Bachelor i Matematik og Teknologi,10,"Bachelor_Projekter og almene fag, BSc i Matematik & Teknologi",Campus Lyngby,,Mads Peter Sørensen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01666
29,01715,Functional Analysis,Funktionalanalyse,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Matematisk Modellering og Computing_Teknologisk specialisering, kandidatuddannelsen, Matematisk Modellering og Computing",Campus Lyngby,"01325,01125, ., , Uden "" 01125 Togologiske   grundbegreber og metriske rum"" og "" 01325 Funktionsrum   og matematisk analyse"" vil det kræve meget (ekstra)arbejde   at gennemføre kurset.",Ole Christensen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01715
30,01716,Advanced Topics in Applied Functional Analysis,Videregående emner i anvendt funktionalanalyse,5,Kandidat_Kurset udbydes som enkeltfag,Campus Lyngby,"01715,  , Kendskab til partielledifferentialligninger ogfunktionalanalyse",Kim Knudsen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01716
31,01901,Calculus and algebra 1,Basismat 1 - Indledende matematik fordiplomingeniører,5,"Diplomingeniør_Kurset udbydes som enkeltfag_Obligatorisk kursus, Diplomingeniørretning Byggeri og Infrastruktur_Obligatorisk kursus, Diplomingeniørretning Bygningsdesign_Obligatorisk kursus, Diplomingeniørretning Eksport og Teknologi_Obligatorisk kursus, Diplomingeniørretning Elektrisk energiteknologi_Obligatorisk kursus, Diplomingeniørretning Elektroteknologi_Obligatorisk kursus, Diplomingeniørretning Fødevaresikkerhed og -kvalitet_Obligatorisk kursus, Diplomingeniørretning IT og Økonomi_Obligatorisk kursus, Diplomingeniørretning IT-elektronik_Obligatorisk kursus, Diplomingeniørretning Kemi- og bioteknik_Obligatorisk kursus, Diplomingeniørretning Kemiteknik og International Business_Obligatorisk kursus, Diplomingeniørretning Maskinteknik_Obligatorisk kursus, Diplomingeniørretning Mobilitet, transport og logistik_Obligatorisk kursus, Diplomingeniørretning Proces og Innovation_Obligatorisk kursus, Diplomingeniørretning Produktion_Obligatorisk kursus, Diplomingeniørretning Softwareteknologi_Obligatorisk kursus, Diplomingeniørretning Sundhedsteknologi",Kurset afholdes både på Lyngby og Ballerup campus. Kurset skalkun følges i ét skemamodul. Det relevante skemamodul fremgår afstudieplanerne for de enkelte uddannelser.,,Morten Brøns,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01901
32,01904,Discrete mathematics,Diskret matematik,5,"Diplomingeniør_Obligatorisk kursus, Diplomingeniørretning IT og Økonomi_Obligatorisk kursus, Diplomingeniørretning IT-elektronik_Obligatorisk kursus, Diplomingeniørretning Softwareteknologi_Tilvalgskurser, Diplomingeniørretning, Eksport og Teknologi_Tilvalgskurser, Diplomingeniørretning, Sundhedsteknologi",Campus Lyngby,,Christian Majenz,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01904
33,01920,Calculus and Algebra 2,Basismat 2 - Videregående matematik fordiplomingeniører,5,"Diplomingeniør_Kurset udbydes som enkeltfag_Obligatorisk kursus, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Obligatorisk kursus, Diplomingeniørretning Byggeri og Infrastruktur_Obligatorisk kursus, Diplomingeniørretning Bygningsdesign_Obligatorisk kursus, Diplomingeniørretning Eksport og Teknologi_Obligatorisk kursus, Diplomingeniørretning Elektrisk energiteknologi_Obligatorisk kursus, Diplomingeniørretning Elektroteknologi_Obligatorisk kursus, Diplomingeniørretning Fiskeriteknologi_Obligatorisk kursus, Diplomingeniørretning Fødevaresikkerhed og -kvalitet_Obligatorisk kursus, Diplomingeniørretning IT-elektronik_Obligatorisk kursus, Diplomingeniørretning Kemiteknik og International Business_Obligatorisk kursus, Diplomingeniørretning Maskinteknik_Obligatorisk kursus, Diplomingeniørretning Mobilitet, transport og logistik_Obligatorisk kursus, Diplomingeniørretning Proces og Innovation_Obligatorisk kursus, Diplomingeniørretning Produktion_Obligatorisk kursus, Diplomingeniørretning Softwareteknologi_Obligatorisk kursus, Diplomingeniørretning Sundhedsteknologi_Tilvalgskurser, Diplomingeniørretning, IT-elektronik_Tilvalgskurser, Diplomingeniørretning, Sundhedsteknologi",Kurset afholdes både på Lyngby og Ballerup campus. Kurset skalkun følges i ét skemamodul. Det relevante skemamodul fremgår afstudieplanerne for de enkelte uddannelser.,"01901,  , 01901 senestsamtidig",Morten Brøns,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01920
34,02101,Introductory Programming,Indledende Programmering,5,"Bachelor_Kurset udbydes som enkeltfag_Naturvidenskabelige Grundfag_Naturvidenskabeligt grundfag_Projekter og almene fag, BSc i Cyberteknologi_Projekter og almene fag, BSc i Elektroteknologi_Projekter og almene fag, BSc i Fysik & Nanoteknologi_Projekter og almene fag, BSc i Softwareteknologi_Tilvalgskurser, Diplomingeniørretning Mobilitet, Transport og Logistik",Campus Lyngby,,Paul Fischer,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02101
35,02102,Introductory Programming,Indledende Programmering,5,"Bachelor_Kurset udbydes som enkeltfag_Projekter og almene fag, BSc i Elektroteknologi",Campus Lyngby,,Jørgen Villadsen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02102
36,02105,Algorithms and Data Structures 1,Algoritmer og datastrukturer 1,5,"Bachelor_Kurset udbydes som enkeltfag_Bachelor i Kunstig Intelligens og Data_Teknologisk linjefag, Cyberteknologi_Teknologisk linjefag, Data Science og Management_Teknologisk linjefag, General Engineering_Teknologisk linjefag, Softwareteknologi_Tilvalgskurser, Diplomingeniørretning Mobilitet, Transport og Logistik_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign_Tilvalgskurser, Diplomingeniørretning, Eksport og Teknologi_Tilvalgskurser, Diplomingeniørretning, Sundhedsteknologi",Campus Lyngby,"02101,02102,01017, (,/,)., , Et kursus i indledende   programmering + et indledende kursus i diskret matematik. Eller   tilsvarende kompetencer.",Philip Bille,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02105
37,02110,Algorithms and Data Structures 2,Algoritmer og datastrukturer 2,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen Datadesign og Optimering_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign_Tilvalgskurser, Diplomingeniørretning, It og økonomi_Tilvalgskurser, Diplomingeniørretning, IT-elektronik_Tilvalgskurser, Diplomingeniørretning, Softwareteknologi_Tilvalgskurser, Diplomingeniørretning, Sundhedsteknologi",Campus Lyngby,"02105,02326, /, , Kurset bygger på 02105 Algoritmer   og Datastrukturer I.",Inge Li Gørtz,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02110
38,02121,Introduction to Software Technology,Introduktion til softwareteknologi,10,"Bachelor_Projekter og almene fag, BSc i Softwareteknologi",Campus Lyngby,"02101,  , Den studerende følger eller harfulgt et kursus i indledendeprogrammering",Carsten Witt,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02121
39,02122,Software Technology Project,Fagprojekt - Bachelor i Softwareteknologi,10,"Bachelor_Projekter og almene fag, BSc i Softwareteknologi",Campus Lyngby,"02105,02121,02161, .,., , Introducerende kurser til   programmering og softwareudvikling",Nina Gierasimczuk,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02122
40,02128,Software Project,Softwareprojekt,5,Bachelor,Campus Lyngby Der forventes aktiv deltagelse gennem helekursusforløbet.,"02101,02105,02121,02161, .,.,., , Der forudsættes grundlæggende   kendskab til programmering i Java, algoritmer og datastrukturer   samt softwareudvikling svarende til de nævnte kurser.",Hans Henrik Løvengreen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02128
41,02132,Computer Systems,Computersystemer,10,"Bachelor_Teknologisk linjefag, Softwareteknologi",Campus Lyngby,"02101,02102,  /, , Der forudsættes beherskelse afbegreber og terminologi om udvikling, test og dokumentation afprogrammer. Der gives en introduktion til sprogetC.",Jan Madsen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02132
42,02135,Introduction to Cyber Systems,Introduktion til Cyber Systemer,5,"Bachelor_Teknologisk linjefag, General Engineering",Campus Lyngby,,Jan Madsen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02135
43,02138,Digital Electronics 1,Digital elektronik 1,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, Elektroteknologi",Campus Lyngby,,Flemming Stassen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02138
44,02139,Digital Electronics 2,Digital Elektronik 2,5,Bachelor,Campus Lyngby,"02138, ",Martin Schöberl,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02139
45,02141,Computer Science Modelling,Datalogisk modellering,10,"Bachelor_Teknologisk linjefag, General Engineering_Teknologisk linjefag, Softwareteknologi_Tilvalgskurser, Diplomingeniørretning, IT-elektronik_Tilvalgskurser, Diplomingeniørretning, Softwareteknologi",Campus Lyngby,"02157,  , Diskret matematik, algoritmer ogdatastrukturer, funktionsprogrammering.",Alberto Lluch Lafuente,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02141
46,02148,Introduction to Coordination in DistributedApplications,Introduktion til koordinering af fordelteapplikationer,5,"Bachelor_Tilvalgskurser, Diplomingeniørretning, Softwareteknologi",Campus Lyngby,"02101,02102,02161,02105, (,/,).­,.­, , De studerende skal kunne udtrykke   sig i et objekt-orienteret programmeringssprog. Grundlæggende   kendskab til algoritmer, datastrukturer og software engineering   anbefales også.",Alberto Lluch Lafuente,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02148
47,02155,Computer Architecture and Engineering,Computerarkitektur,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, Softwareteknologi_Tilvalgskurser, Diplomingeniørretning, Elektroteknologi_Tilvalgskurser, Diplomingeniørretning, IT-elektronik_Tilvalgskurser, Diplomingeniørretning, Softwareteknologi",Campus Lyngby,"02131,02132,02139,02102, /,/,., , Grundlæggende kendskab til   programmering og digitalelektronik",Alberto Nannarelli,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02155
48,02156,Logical Systems and Logic Programming,Logiske Systemer og Logikprogrammering,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, Softwareteknologi_Tilvalgskurser, Diplomingeniørretning, Softwareteknologi",Campus Lyngby,"02101,02102,01017,01019,02105, (,/,).­(,/,).­, , Programmering i et deklarativt   eller imperativt sprog, diskret matematik, algoritmer og   datastrukturer. Funktionsprogrammering er en   fordel.",Jørgen Villadsen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02156
49,02157,Functional Programming,Funktionsprogrammering,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, General Engineering_Teknologisk linjefag, Softwareteknologi_Tilvalgskurser, Diplomingeniørretning, It og økonomi_Tilvalgskurser, Diplomingeniørretning, Softwareteknologi",Campus Lyngby,"02101,02102,02631,01019, (, /, /,) ., , Programmering i etimperativt/​objektorienteret sprog, diskret matematik (senestsamtidigt).",Michael Reichhardt Hansen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/02157
